id,mos_ref,section_no,section_title,element_no,element_title,objective
PIFR-074,15.1.5,15,Navigation systems,15.1,VOR,"Fix position, given cockpit instrument indications utilising 2 VOR stations."
PIFR-075,15.1.6,15,Navigation systems,15.1,VOR,"Fix position, given instrument indications utilising combinations of VOR, NDB and DME."
PIFR-076,15.2.1,15,Navigation systems,15.2,NDB,State how NDB indications or range may be affected by the following: (a) coastal refraction; (b) night error; (c) thunderstorms; (d) mountainous areas; (e) types of terrain; (f) altitude of aircraft.
PIFR-077,15.2.2,15,Navigation systems,15.2,NDB,State the method of using the most appropriate NDB for tracking during navigation.
PIFR-078,15.2.3,15,Navigation systems,15.2,NDB,Describe how the following are determined using an ADF relative bearing indication: (a) NDB station passage; (b) abeam NDB station; (c) NDB bearing the aircraft is on; (d) track error and/or drift experienced.
PIFR-079,15.2.4,15,Navigation systems,15.2,NDB,"Calculate track to and from the NDB, given heading and relative bearings."
PIFR-080,15.2.5,15,Navigation systems,15.2,NDB,Calculate heading to steer to intercept a new or original track to or from an NDB.
PIFR-081,15.2.6,15,Navigation systems,15.2,NDB,Calculate heading to steer to intercept desired inbound track before reaching the NDB.
PIFR-082,15.2.7,15,Navigation systems,15.2,NDB,"Calculate relative bearing which will indicate that a desired track to or from an NDB has been intercepted, given the intercept heading."
PIFR-083,15.2.8,15,Navigation systems,15.2,NDB,"Fix position, given relative bearing indications utilising 2 NDB stations."
PIFR-084,15.3.1,15,Navigation systems,15.3,GNSS,"GNSS system components and principle of operation: (a) Describe the GNSS system and its principles of operation, including the following: (i) GNSS system components; (ii) space segment; (iii) GNSS Satellite signal; (iv) pseudo random code (C/A course acquisition code); (v) control segment; (vi) user segment (the GNSS receiver); (vii) pseudo ranging; (viii) principle of position fixing/minimum satellites required for navigation functions; (ix) TSO/performance limitations of various equipment types; (x) RAIM; (xi) masking function; (xii) receiver displays of system integrity; (xiii) operating modes - navigation with and without RAIM, DR. (b) Explain why GNSS uses the WGS84 coordinate system."
PIFR-085,15.3.2,15,Navigation systems,15.3,GNSS,GNSS errors.
PIFR-086,15.3.3,15,Navigation systems,15.3,GNSS,Describe the cause and magnitude of typical GNSS errors: (a) ephemeris; (b) clock; (c) receiver; (d) atmospheric and ionospheric; (e) multipath; (f) SA; (g) typical total error associated with C/A code; (h) effect of PDOP/GDOP on position accuracy; (i) susceptibility to interference; (j) comparison of vertical and horizontal errors; (k) tracking accuracy and collision avoidance.
PIFR-087,16.1.1,16,Flight instrument errors,,,"State how the compass is affected by turning error, acceleration and deceleration error."
PIFR-088,16.1.2,16,Flight instrument errors,,,"State how the attitude indicator is affected by power source output, acceleration and deceleration error, and bank and pitch limits."
PIFR-089,17.1.1,17,Human factors relevant to IFR operations,,,"State the part played by the vestibular systems, namely the semicircular canals and otiliths, in helping the pilot maintain orientation."
PIFR-090,17.1.2,17,Human factors relevant to IFR operations,,,"State what circumstances aggravate vestibular disorientation, and how to overcome this problem."
PIFR-091,17.1.3,17,Human factors relevant to IFR operations,,,"State what causes, and may aggravate, vestibular disorientation such as somatogravic illusions, somatogyral illusions and 'graveyard spiral', coriolis effect, and 'leans'."
PIFR-092,17.1.4,17,Human factors relevant to IFR operations,,,"State conditions and causes under which visual illusions, such as 'false horizons', visual-cue illusions, relative motion illusions, 'flicker' effect', black hole' illusion, and autokinesis may occur."
PIFR-093,17.1.5,17,Human factors relevant to IFR operations,,,"Be aware of the human factors limitations associated with the use of GNSS equipment to provide safeguards against navigational errors and loss of situational awareness because of the following: (a) mode errors; (b) data entry errors; (c) data validation and checking, including independent cross-checking procedures; (d) automation induced complacency; (e) non-standardisation of the GNSS receiver units; (f) human information processing and situational awareness."
